x_min,y_min,x_max,y_max,names,Datetime
:57.877244
191,184,435,478,person,2025-09-11 06:37:57.991798
192,185,434,478,person,2025-09-11 06:37:58.091792
1,271,283,477,motorcycle,2025-09-11 06:37:58.091835
203,186,433,479,person,2025-09-11 06:37:58.194785
2,271,281,477,motorcycle,2025-09-11 06:37:58.194825
204,186,433,478,person,2025-09-11 06:37:58.288158
2,274,282,478,motorcycle,2025-09-11 06:37:58.288192
193,186,435,478,person,2025-09-11 06:37:58.385378
198,185,433,478,person,2025-09-11 06:37:58.486420
195,185,434,478,person,2025-09-11 06:37:58.583486
2,271,282,478,motorcycle,2025-09-11 06:37:58.583519
194,184,433,477,person,2025-09-11 06:37:58.683642
1,272,283,478,motorcycle,2025-09-11 06:37:58.683675
195,184,434,478,person,2025-09-11 06:37:58.787147
1,272,282,477,motorcycle,2025-09-11 06:37:58.787178
192,184,433,478,person,2025-09-11 06:37:58.882460
199,185,434,479,person,2025-09-11 06:37:58.981507
1,274,284,478,motorcycle,2025-09-11 06:37:58.981542
200,185,433,478,person,2025-09-11 06:37:59.081922
189,184,432,478,person,2025-09-11 06:37:59.183163
187,184,433,478,person,2025-09-11 06:37:59.282616
191,184,431,478,person,2025-09-11 06:37:59.385364
192,185,433,477,person,2025-09-11 06:37:59.488685
198,185,434,478,person,2025-09-11 06:37:59.580164
2,270,284,478,motorcycle,2025-09-11 06:37:59.580199
203,184,435,478,person,2025-09-11 06:37:59.687044
2,271,282,478,motorcycle,2025-09-11 06:37:59.687079
203,185,433,477,person,2025-09-11 06:37:59.784441
194,185,436,478,person,2025-09-11 06:37:59.883176
1,272,283,477,motorcycle,2025-09-11 06:37:59.883211
194,184,435,478,person,2025-09-11 06:37:59.986580
1,272,284,477,motorcycle,2025-09-11 06:37:59.986614
197,185,433,478,person,2025-09-11 06:38:00.086503
187,184,433,478,person,2025-09-11 06:38:00.184257
1,272,283,478,motorcycle,2025-09-11 06:38:00.184291
177,185,433,478,person,2025-09-11 06:38:00.282195
180,183,435,478,person,2025-09-11 06:38:00.387253
196,184,435,477,person,2025-09-11 06:38:00.494606
2,274,285,478,motorcycle,2025-09-11 06:38:00.494638
195,184,436,479,person,2025-09-11 06:38:00.582580
1,274,283,479,motorcycle,2025-09-11 06:38:00.582617
202,185,436,480,person,2025-09-11 06:38:00.684123
192,184,435,479,person,2025-09-11 06:38:00.786341
2,271,282,479,motorcycle,2025-09-11 06:38:00.786373
180,185,433,478,person,2025-09-11 06:38:00.882108
3,268,281,478,motorcycle,2025-09-11 06:38:00.882147
183,184,433,479,person,2025-09-11 06:38:00.986761
2,272,283,478,motorcycle,2025-09-11 06:38:00.986794
197,185,432,478,person,2025-09-11 06:38:01.085216
2,270,281,480,motorcycle,2025-09-11 06:38:01.085248
197,184,433,479,person,2025-09-11 06:38:01.185795
1,271,283,479,motorcycle,2025-09-11 06:38:01.185827
213,188,436,477,person,2025-09-11 06:38:01.284950
1,273,281,479,motorcycle,2025-09-11 06:38:01.284981
194,183,434,478,person,2025-09-11 06:38:01.388942
1,272,282,479,motorcycle,2025-09-11 06:38:01.388972
193,183,433,478,person,2025-09-11 06:38:01.485845
1,272,282,477,motorcycle,2025-09-11 06:38:01.485879
176,184,434,478,person,2025-09-11 06:38:01.585377
1,271,284,478,motorcycle,2025-09-11 06:38:01.585408
192,184,434,478,person,2025-09-11 06:38:01.689319
2,272,283,478,motorcycle,2025-09-11 06:38:01.689351
192,184,434,478,person,2025-09-11 06:38:01.785876
1,271,282,477,motorcycle,2025-09-11 06:38:01.785909
192,184,434,479,person,2025-09-11 06:38:01.885735
2,268,282,478,motorcycle,2025-09-11 06:38:01.885766
188,185,432,478,person,2025-09-11 06:38:01.985475
195,185,433,478,person,2025-09-11 06:38:02.085273
1,272,283,479,motorcycle,2025-09-11 06:38:02.085305
190,185,435,478,person,2025-09-11 06:38:02.187652
176,184,433,478,person,2025-09-11 06:38:02.286031
199,185,433,479,person,2025-09-11 06:38:02.388101
2,272,283,477,motorcycle,2025-09-11 06:38:02.388133
177,184,433,477,person,2025-09-11 06:38:02.502335
2,271,284,477,motorcycle,2025-09-11 06:38:02.502373
189,185,434,477,person,2025-09-11 06:38:02.580721
1,272,284,478,motorcycle,2025-09-11 06:38:02.580766
193,185,433,478,person,2025-09-11 06:38:02.645430
197,185,435,478,person,2025-09-11 06:38:02.711651
1,272,283,480,motorcycle,2025-09-11 06:38:02.711685
198,185,433,478,person,2025-09-11 06:38:02.810326
194,186,433,478,person,2025-09-11 06:38:03.026937
183,185,436,479,person,2025-09-11 06:38:03.273032
1,273,284,478,motorcycle,2025-09-11 06:38:03.273116
184,184,433,478,person,2025-09-11 06:38:03.411474
2,271,283,478,motorcycle,2025-09-11 06:38:03.411514
194,184,432,478,person,2025-09-11 06:38:03.498207
181,184,434,478,person,2025-09-11 06:38:03.608360
183,184,433,478,person,2025-09-11 06:38:03.689261
192,185,434,478,person,2025-09-11 06:38:03.787670
1,273,282,478,motorcycle,2025-09-11 06:38:03.787707
191,185,435,478,person,2025-09-11 06:38:03.886889
1,272,283,478,motorcycle,2025-09-11 06:38:03.886922
204,185,433,479,person,2025-09-11 06:38:03.988212
1,272,283,478,motorcycle,2025-09-11 06:38:03.988251
205,185,432,478,person,2025-09-11 06:38:04.086178
1,271,283,478,motorcycle,2025-09-11 06:38:04.086210
205,184,434,478,person,2025-09-11 06:38:04.194217
200,185,435,477,person,2025-09-11 06:38:04.289049
2,271,283,478,motorcycle,2025-09-11 06:38:04.289087
194,184,434,477,person,2025-09-11 06:38:04.394255
2,269,283,478,motorcycle,2025-09-11 06:38:04.394291
194,185,433,477,person,2025-09-11 06:38:04.481068
187,184,434,477,person,2025-09-11 06:38:04.546834
200,185,434,477,person,2025-09-11 06:38:04.633552
2,273,283,478,motorcycle,2025-09-11 06:38:04.633588
205,186,433,477,person,2025-09-11 06:38:04.718059
197,185,433,478,person,2025-09-11 06:38:04.819437
198,185,433,478,person,2025-09-11 06:38:04.919917
184,183,433,477,person,2025-09-11 06:38:05.020264
192,184,433,477,person,2025-09-11 06:38:05.121978
202,185,434,478,person,2025-09-11 06:38:05.222495
213,187,437,476,person,2025-09-11 06:38:05.322252
201,184,433,477,person,2025-09-11 06:38:05.421505
197,184,434,477,person,2025-09-11 06:38:05.519447
201,184,431,477,person,2025-09-11 06:38:05.620870
202,184,431,479,person,2025-09-11 06:38:05.721470
196,184,432,477,person,2025-09-11 06:38:05.820384
192,185,433,478,person,2025-09-11 06:38:05.922253
199,185,432,478,person,2025-09-11 06:38:06.019880
2,273,282,477,motorcycle,2025-09-11 06:38:06.019913
195,185,433,477,person,2025-09-11 06:38:06.124049
2,274,282,477,motorcycle,2025-09-11 06:38:06.124083
192,185,434,478,person,2025-09-11 06:38:06.223051
1,272,283,480,motorcycle,2025-09-11 06:38:06.223083
193,185,434,478,person,2025-09-11 06:38:06.322284
